"","Species","Jan","JanSD","Feb","FebSD","Mar","MarSD","Apr","AprSD","May","MaySD","Jun","JunSD","Jul","JulSD","Aug","AugSD","Sep","SepSD","Oct","OctSD","Nov","NovSD","Dec","DecSD"
"1","Arctic_Skua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Northern_Fulmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Great_Black_backed_Gull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Common_Guillemot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Northern_Gannet",0.97,0.67,1.04,0.75,1.15,0.78,0.48,0.36,0.56,0.58,0.63,0.45,0.68,0.47,0.64,0.47,0.53,0.39,1.2,0.78,1.02,0.61,0.99,0.7
"6","Black_legged_Kittiwake",0.97,1e-07,1.04,1e-07,1.15,1e-07,0.48,1e-07,0.56,1e-07,0.63,1e-07,0.68,1e-07,0.64,1e-07,0.53,1e-07,1.2,1e-07,1.02,1e-07,0.99,1e-07
"7","Lesser_Black_Backed_Gull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Little_Auk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Great_Skua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Atlantic_Puffin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Razorbill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
