"","Parameter","Mean","SD","Median","IQR"
"1","RotorSpeed",9.1,0,9.1,0
"2","RotorRadius",57.4999999805893,1.22574781951874e-08,57.4999999805893,8.66734950477621e-09
"3","HubHeight",79.9999999317595,1.05721595399299e-07,79.9999999317595,7.4756457024705e-08
"4","BladeWidth",4.21000004997036,3.46627076291956e-08,4.21000004997036,2.45102356188909e-08
"5","Pitch",0,0,0,0
"6","JanOp",84.6,0,84.6,0
"7","FebOp",84.6,0,84.6,0
"8","MarOp",84.6,0,84.6,0
"9","AprOp",77.3,0,77.3,0
"10","MayOp",65.5,0,65.5,0
"11","JunOp",63.8,0,63.8,0
"12","JulOp",64.6,0,64.6,0
"13","AugOp",71.8,0,71.8,0
"14","SepOp",73.6,0,73.6,0
"15","OctOp",79,0,79,0
"16","NovOp",81.8,0,81.8,0
"17","DecOp",84.6,0,84.6,0
